Common,Royal,Monk
តើថ្ងៃនេះឯងសុខសប្បាយទេបន្ទាប់ពីពួកយើងមិនបានជួបគ្នាយូរមកហើយ?,តើថ្ងៃនេះព្រះអង្គមានព្រះសុខភាពយ៉ាងណាដែរទូលព្រះបង្គំសូមថ្វាយព្រះពរ។,តើថ្ងៃនេះព្រះតេជគុណសុខទុក្ខយ៉ាងណាដែរករុណាសង្ឃឹមថាព្រះអង្គសុខសប្បាយ។
តើឯងមានឈ្មោះអ្វីដែរពីព្រោះខ្ញុំចង់ស្គាល់ឯងឲ្យបានច្បាស់ជាងនេះ?,តើព្រះអង្គមានព្រះនាមថាអ្វីដែរទូលព្រះបង្គំចង់ដឹងដើម្បីក្រាបបង្គំទូល។,តើព្រះតេជគុណមាននាមថាអ្វីដែរករុណាចង់ដឹងដើម្បីងាយស្រួលនឹងហៅ។
ឯងអង្គុយលេងនៅទីនេះសិនទៅកុំអាលប្រញាប់ត្រឡប់ទៅផ្ទះវិញអីណា។,សូមព្រះអង្គយាងគង់នៅទីនេះសិនទៅកុំអាលប្រញាប់យាងត្រឡប់ទៅវិញអី។,សូមព្រះតេជគុណនិមន្តគង់នៅទីនេះសិនទៅកុំអាលប្រញាប់និមន្តទៅវិញអី។
តើឯងកំពុងតែទៅណាដែរឃើញដើរប្រញាប់ប្រញាល់ខ្លាំងម្ល៉េះក្នុងថ្ងៃនេះ?,តើព្រះអង្គកំពុងតែយាងទៅណាដែរឃើញយាងប្រញាប់ប្រញាល់ខ្លាំងម្ល៉េះ?,តើព្រះតេជគុណកំពុងតែនិមន្តទៅណាដែរឃើញនិមន្តប្រញាប់ប្រញាល់ខ្លាំងម្ល៉េះ?
ខ្ញុំសូមអរគុណឯងខ្លាំងណាស់សម្រាប់ការជួយជ្រោមជ្រែងដល់រូបខ្ញុំកន្លងមក។,ទូលព្រះបង្គំសូមព្រះរាជអរគុណព្រះអង្គខ្លាំងណាស់សម្រាប់ការជួយដល់ទូលបង្គំ។,ករុណាសូមអរព្រះគុណព្រះតេជគុណខ្លាំងណាស់សម្រាប់ការជួយសង្គ្រោះដល់ករុណា។
ឯងទៅមុនចុះចាំខ្ញុំដើរទៅតាមក្រោយបន្ទាប់ពីខ្ញុំចប់ការងារនេះ។,សូមព្រះអង្គយាងទៅមុនចុះចាំទូលព្រះបង្គំយាងទៅតាមក្រោយពេលចប់កិច្ច។,សូមព្រះតេជគុណនិមន្តទៅមុនចុះចាំករុណានិមន្តទៅតាមក្រោយពេលចប់កិច្ច។
ខ្ញុំស្រឡាញ់ឯងខ្លាំងណាស់ពីព្រោះឯងជាមិត្តល្អបំផុតដែលខ្ញុំធ្លាប់មាន។,ទូលព្រះបង្គំមានសេចក្តីស្មោះស្ម័គ្រនឹងព្រះអង្គក្នុងនាមជាប្រជារាស្ត្រម្នាក់។,ករុណាមានសេចក្តីជ្រះថ្លានឹងព្រះតេជគុណខ្លាំងណាស់ពីព្រោះលោកមានធម៌ល្អ។
តើឯងរស់នៅទីណាដែរខ្ញុំចង់ទៅលេងផ្ទះឯងនៅថ្ងៃសៅរ៍ចុងសប្តាហ៍នេះ។,តើព្រះអង្គគង់ប្រថាប់នៅទីណាដែរទូលបង្គំចង់យាងទៅគាល់ក្នុងថ្ងៃសៅរ៍។,តើព្រះតេជគុណគង់នៅទីណាដែរករុណាចង់និមន្តទៅលេងវត្តលោកនៅថ្ងៃសៅរ៍។
តើឯងកំពុងតែធ្វើអ្វីហ្នឹងឃើញកំពុងតែអង្គុយគិតម្នាក់ឯងមើលទៅហត់ណាស់?,តើព្រះអង្គកំពុងតែបំពេញព្រះរាជកិច្ចអ្វីដែរឃើញទ្រង់ព្រះតម្រិះមើលទៅហត់?,តើព្រះតេជគុណកំពុងតែបំពេញកិច្ចអ្វីដែរឃើញកំពុងតែពិចារណាមើលទៅហត់?
ឯងជួយចាំខ្ញុំបន្តិចបានទេចាំខ្ញុំទៅជាមួយដែរកុំទុកខ្ញុំចោលម្នាក់ឯង។,សូមព្រះអង្គមេត្តារង់ចាំទូលបង្គំបន្តិចបានទេចាំទូលបង្គំយាងទៅជាមួយដែរ។,សូមព្រះតេជគុណមេត្តារង់ចាំករុណាបន្តិចបានទេចាំករុណានិមន្តទៅជាមួយដែរ។
ខ្ញុំសូមទោសឯងខ្លាំងណាស់ដែលខ្ញុំបានធ្វើឲ្យឯងមានការអាក់អន់ចិត្ត។,ទូលព្រះបង្គំសូមព្រះរាជទានទោសពីព្រះអង្គដែលបានធ្វើឲ្យទ្រង់អាក់អន់ចិត្ត។,ករុណាសូមខន្តីអភ័យទោសពីព្រះតេជគុណដែលបានធ្វើឲ្យលោកអាក់អន់ចិត្ត។
ឯងជួយស្ដាប់ខ្ញុំនិយាយបន្តិចបានទេព្រោះរឿងនេះវាមានសារៈសំខាន់ខ្លាំងណាស់។,សូមព្រះអង្គមេត្តាព្រះសណ្ដាប់ទូលបង្គំបន្តិចបានទេព្រោះរឿងនេះវាសំខាន់។,សូមព្រះតេជគុណមេត្តាព្រះសណ្ដាប់ករុណាបន្តិចបានទេព្រោះរឿងនេះវាសំខាន់។
ឯងជួយមើលរបស់មួយនេះបន្តិចមើលតើវាស្អាតឬក៏មិនស្អាតនៅក្នុងភ្នែកឯង?,សូមព្រះអង្គមេត្តាទ្រង់ទតរបស់មួយនេះបន្តិចមើលតើវាស្អាតឬក៏មិនស្អាតសម្រាប់ទ្រង់?,សូមព្រះតេជគុណមេត្តាទតរបស់មួយនេះបន្តិចមើលតើវាស្អាតឬក៏មិនស្អាតសម្រាប់លោក?
ថ្ងៃនេះខ្ញុំមានអារម្មណ៍ថាសប្បាយចិត្តខ្លាំងណាស់ដែលបានជួបមិត្តភក្តិចាស់ៗ។,ថ្ងៃនេះទូលបង្គំមានសេចក្តីសោមនស្សក្រៃលែងដែលបានយាងមកគាល់ព្រះអង្គ។,ថ្ងៃនេះករុណាមានសេចក្តីត្រេកអរក្រៃលែងដែលបាននិមន្តមកជួបលោកនៅទីនេះ។
ខ្ញុំពិតជាមិនដឹងពីរឿងរ៉ាវនោះទេពីព្រោះខ្ញុំមិនបាននៅក្នុងហេតុការណ៍នោះឡើយ។,ទូលបង្គំពិតជាមិនជ្រាបពីរឿងរ៉ាវនោះទេពីព្រោះទូលបង្គំមិនបាននៅក្នុងហេតុការណ៍។,ករុណាពិតជាមិនជ្រាបពីរឿងរ៉ាវនោះទេពីព្រោះករុណាមិនបាននៅក្នុងហេតុការណ៍។
ឯងជួយយកទឹកឲ្យខ្ញុំផឹកបន្តិចមកពីព្រោះខ្ញុំកំពុងតែស្រេកទឹកខ្លាំងណាស់។,សូមព្រះអង្គព្រះរាជទានទឹកឲ្យទូលបង្គំបន្តិចមកពីព្រោះទូលបង្គំស្រេកទឹកណាស់។,សូមលោកមេត្តាប្រគេនទឹកឲ្យករុណាបន្តិចមកពីព្រោះករុណាកំពុងតែស្រេកទឹកណាស់។
ឯងជួយនិយាយឲ្យយឺតៗបន្តិចបានទេពីព្រោះខ្ញុំស្តាប់ឯងមិនសូវទាន់នោះឡើយ។,សូមព្រះអង្គមានព្រះរាជបន្ទូលយឺតៗបន្តិចបានទេពីព្រោះទូលបង្គំស្តាប់មិនទាន់។,សូមព្រះតេជគុណមានថេរដីកាយឺតៗបន្តិចបានទេពីព្រោះករុណាស្តាប់មិនទាន់។
ខ្ញុំលាទៅផ្ទះវិញសិនហើយចាំថ្ងៃក្រោយពួកយើងជួបគ្នាដើម្បីនិយាយគ្នាបន្តទៀត។,ទូលបង្គំសូមក្រាបបង្គំលាព្រះអង្គត្រឡប់ទៅវិញហើយចាំថ្ងៃក្រោយជួបគ្នាទៀត។,ករុណាសូមក្រាបថ្វាយបង្គំលាព្រះតេជគុណត្រឡប់ទៅវិញហើយចាំថ្ងៃក្រោយជួបគ្នា។
